PName1,Type,lon,lat,REGION_NOM,PREF_NOM,SPREF_NOM,COM_NOM
Berberati,Chef Lieu,15.787529,4.255473,Equateur,Mambere-Kadei,Berberati,Basse-Batouri
Mbaki,Chef Lieu,17.992175,3.873860,Plateaux,Lobaye,Mba´ki,Mbaiki
Birao,Chef Lieu,22.793377,10.273031,Fertit,Vakaga,Birao,Ridina
Bozoum,Chef Lieu,16.370852,6.318574,Yade,Ouham Pende,Bozoum,Bozoum
Nola,Chef Lieu,16.044940,3.524026,Equateur,Sangha-Mbaere,Nola,Nola
Kaga-Bandoro,Chef Lieu,19.191543,6.990379,Kagas,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro
Bouar,Chef Lieu,15.592954,5.931157,Equateur,Nana-Mambere,Bouar,Herman-Brousse
Ndele,Chef Lieu,20.647999,8.411999,Fertit,Bamingui-Bangoran,Ndele,Dar El Kouti
Bria,Chef Lieu,21.991405,6.537415,Fertit,Haute-Kotto,Bria,Samba-Boungou
Bambari,Chef Lieu,20.654183,5.764845,Kagas,Ouaka,Bambari,Bambari
Bossangoa,Chef Lieu,17.454107,6.493366,Yade,Ouham,Bossangoa,Bossangoa
Bimbo,Chef Lieu,18.522989,4.329624,Plateaux,Ombella M'Poko,Bimbo,Bimbo
Bangassou,Chef Lieu,22.822237,4.740092,Haut-Oubangui,Mbomou,Bangassou,Bangassou
Bangui,Capitale Nationale,18.586637,4.361967,Bas-Oubangui,Bangui,Bangui,Bangui
Sibut,Chef Lieu,19.081939,5.727482,Kagas,Kemo,Sibut,Sibut
Mobaye,Chef Lieu,21.176190,4.320400,Haut-Oubangui,Basse-Kotto,Mobaye,Mobaye
Obo,Chef Lieu,26.494639,5.403851,Haut-Oubangui,Haut-Mbomou,Obo,Obo
