PName1,Type,lon,lat,REGION_NOM,PREF_NOM,SPREF_NOM,COM_NOM
Abba,Chef lieu de Sous PrÚfecture,15.179901,5.325090,Equateur,Nana-Mambere,Abba,Abba
Paoua,Chef lieu de Sous PrÚfecture,16.434175,7.245206,Yade,Ouham Pende,Paoua,Paoua
Grimari,Chef lieu de Sous PrÚfecture,20.058007,5.739668,Kagas,Ouaka,Grimari,Grimari
Koui,Chef lieu de Sous PrÚfecture,15.453221,6.951955,Yade,Ouham Pende,Koui,Koui
Nana-Bakassa,Chef lieu de Sous PrÚfecture,17.282323,6.986891,Yade,Ouham,Nana-Bakassa,Nana-Bakassa
Zemio,Chef lieu de Sous PrÚfecture,25.129423,5.024257,Haut-Oubangui,Haut-Mbomou,Zemio,Zemio
Kembe,Chef lieu de Sous PrÚfecture,21.890037,4.614079,Haut-Oubangui,Basse-Kotto,Kembe,Kembe
Amada-Gaza,Chef lieu de Sous PrÚfecture,15.195602,4.772098,Equateur,Mambere-Kadei,Amada-Gaza,Haute-Boumbe
Moungoumba,Chef lieu de Sous PrÚfecture,18.591003,3.638809,Plateaux,Lobaye,Mongoumba,Mongoumba
Batangafo,Chef lieu de Sous PrÚfecture,18.285135,7.300987,Yade,Ouham,Batangafo,Batangafo
Carnot,Chef lieu de Sous PrÚfecture,15.868541,4.939971,Equateur,Mambere-Kadei,Carnot,Carnot
Baoro,Chef lieu de Sous PrÚfecture,15.954858,5.694712,Equateur,Nana-Mambere,Baoro,Bawi Tedoa
Baboua,Chef lieu de Sous PrÚfecture,14.828463,5.797997,Equateur,Nana-Mambere,Baboua,Baboua
Bossemptele,Chef lieu de Sous PrÚfecture,16.638656,5.675430,Yade,Ouham Pende,Bossemtele,Binon
Gamboula,Chef lieu de Sous PrÚfecture,15.137363,4.121131,Equateur,Mambere-Kadei,Gamboula,Basse-Boumne
Sosso-Nakombo,Chef lieu de Sous PrÚfecture,15.496017,3.909855,Equateur,Mambere-Kadei,Sosso-Nakombo,Basse-Kadei
Bocaranga,Chef lieu de Sous PrÚfecture,15.646215,6.983292,Yade,Ouham Pende,Bocaranga,Bocaranga
Boganda,Chef lieu de Sous PrÚfecture,17.064619,4.316812,Plateaux,Lobaye,Boganda,Boganda
Boali,Chef lieu de Sous PrÚfecture,18.001717,4.877250,Plateaux,Ombella M'Poko,Boali,Boali
Bamingui,Chef lieu de Sous PrÚfecture,20.179799,7.530107,Fertit,Bamingui-Bangoran,Bamingui,Vassako
Damara,Chef lieu de Sous PrÚfecture,18.700459,4.957568,Plateaux,Ombella M'Poko,Damara,Damara
Kabo,Chef lieu de Sous PrÚfecture,18.629944,7.697565,Yade,Ouham,Kabo,Sido
Rafa´,Chef lieu de Sous PrÚfecture,23.928373,4.970849,Haut-Oubangui,Mbomou,Rafai,Rafai
Yalinga,Chef lieu de Sous PrÚfecture,23.259816,6.508073,Fertit,Haute-Kotto,Yalinga,Yalinga
Djema,Chef lieu de Sous PrÚfecture,25.313056,6.042997,Haut-Oubangui,Haut-Mbomou,Djema,Djema
Gadzi,Chef lieu de Sous PrÚfecture,16.704898,4.779685,Equateur,Mambere-Kadei,Gadzi,Topia
Kouango,Chef lieu de Sous PrÚfecture,19.973607,4.992821,Kagas,Ouaka,Kouango,Kouango
Bakala,Chef lieu de Sous PrÚfecture,20.388232,6.193155,Kagas,Ouaka,Bakala,Koudou-Bego
Dede Mokouba,Chef lieu de Sous PrÚfecture,15.251947,3.927914,Equateur,Mambere-Kadei,Dede-Mokouba,Haute-Kadei
Ippy,Chef lieu de Sous PrÚfecture,21.196600,6.260115,Kagas,Ouaka,Ippy,Ippy
Boganangone,Chef lieu de Sous PrÚfecture,17.199268,4.683594,Plateaux,Lobaye,Boganangone,Boganangone
Alindao,Chef lieu de Sous PrÚfecture,21.214987,5.042049,Haut-Oubangui,Basse-Kotto,Alindao,Alindao
Bayanga,Chef lieu de Sous PrÚfecture,16.274837,2.910364,Equateur,Sangha-Mbaere,Bayanga,Yobe-Sangha
Bambouti,Chef lieu de Sous PrÚfecture,27.205204,5.400963,Haut-Oubangui,Haut-Mbomou,Bambouti,Lili
Mingala,Chef lieu de Sous PrÚfecture,21.787244,5.095167,Haut-Oubangui,Basse-Kotto,Mingala,Siriki
Bouca,Chef lieu de Sous PrÚfecture,18.279259,6.502576,Yade,Ouham,Bouca,Bouca Bobo
Bakouma,Chef lieu de Sous PrÚfecture,22.781732,5.701929,Haut-Oubangui,Mbomou,Bakouma,Bakouma
Dekoa,Chef lieu de Sous PrÚfecture,19.078177,6.320155,Kagas,Kemo,Dekoa,Dekoa
Ouanda-Djalle,Chef lieu de Sous PrÚfecture,22.802253,8.894245,Fertit,Vakaga,Ouanda-Djalle,Vokouma
Bambio,Chef lieu de Sous PrÚfecture,17.002945,3.925228,Equateur,Sangha-Mbaere,Bambio,Mbaere
Ngaounday,Chef lieu de Sous PrÚfecture,15.604020,7.478507,Yade,Ouham Pende,Ngaoundaye,Lim
Gambo,Chef lieu de Sous PrÚfecture,22.262621,4.649389,Haut-Oubangui,Mbomou,Gambo,Gambo
Bossembele,Chef lieu de Sous PrÚfecture,17.646635,5.266200,Plateaux,Ombella M'Poko,Bossembele,Bossembele
Ouango,Chef lieu de Sous PrÚfecture,22.550776,4.313653,Haut-Oubangui,Mbomou,Ouango,Ouango
