Localité,TYPE_POINT,FONCTIONNE,COMITE_GES,RESID_ART_,LOCALISATI,ANNEE_IN_1,lon,lat,PREF_NOM,SPREF_NOM,COM_NOM
Lenga-Kete,Forage,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,17.43790000000,6.44943000000,Ouham,Bossangoa,Koro-M'poko
Lenga-kota,Forage,Non,Oui,Hors du village,Communaute,Plus de 10 ans,17.46610000000,5.99674000000,Ouham,Bossangoa,Koro-M'poko
Mogo-Kota,Forage,Oui,Oui,Hors du village,Communaute,Moins de 5 ans,17.52590000000,5.89434000000,Ouham,Bossangoa,Koro-M'poko
Ndow-kota,Forage,Non,Oui,Hors du village,Communaute,Plus de 10 ans,17.43870000000,6.07325000000,Ouham,Bossangoa,Koro-M'poko
Ndow-kota,Forage,Oui,Oui,Hors du village,Ecole,Moins de 5 ans,17.44370000000,6.06004000000,Ouham,Bossangoa,Koro-M'poko
Oda-Kete,Forage,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,17.56940000000,5.80506000000,Ouham,Bossangoa,Koro-M'poko
Oda-Kete,Forage,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,17.58780000000,5.78467000000,Ouham,Bossangoa,Koro-M'poko
Ahoussa,Forage,Oui,Oui,Hors du village,Hors du village,Moins de 5 ans,20.62630000000,8.52064000000,Bamingui-Bangoran,Ndélé,Dar El Kouti
Oda-kota,Forage,Oui,Oui,Hors du village,Communaute,Moins de 5 ans,17.54890000000,5.83013000000,Ouham,Bossangoa,Koro-M'poko
Akoursoul-Back,Forage,Oui,Non,Dans le village,Communaute,Plus de 10 ans,20.73010000000,8.98897000000,Bamingui-Bangoran,Ndélé,Dar El Kouti
Togbo,Forage,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,17.44310000000,6.06164000000,Ouham,Bossangoa,Koro-M'poko
Akoursoul-Back,Forage,Oui,Oui,Hors du village,Communaute,Moins de 5 ans,20.73140000000,8.99283000000,Bamingui-Bangoran,Ndélé,Dar El Kouti
Votovo,Forage,Oui,Oui,Hors du village,FOSA,Plus de 10 ans,17.43490000000,6.41364000000,Ouham,Bossangoa,Koro-M'poko
Assa,Forage,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,17.30610000000,6.75096000000,Ouham,Bossangoa,Ndoro Mboli
Alihou,Forage,Oui,Oui,Dans le village,Hors du village,Moins de 5 ans,20.69100000000,8.46068000000,Bamingui-Bangoran,Ndélé,Dar El Kouti
Alihou,Forage,Oui,Oui,Dans le village,Communaute,Plus de 10 ans,20.69320000000,8.45437000000,Bamingui-Bangoran,Ndélé,Dar El Kouti
Bede-Bobaye,Forage,Oui,Oui,Dans le village,Communaute,Plus de 10 ans,17.11970000000,6.90164000000,Ouham,Bossangoa,Ndoro Mboli
Bangbali,Forage,Oui,Oui,Hors du village,Communaute,Moins de 5 ans,20.25360000000,8.68601000000,Bamingui-Bangoran,Ndélé,Dar El Kouti
Bo 1,Forage,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,17.32050000000,6.56297000000,Ouham,Bossangoa,Ndoro Mboli
Bangbali,Forage,Oui,Oui,Hors du village,Communaute,,20.25480000000,8.68621000000,Bamingui-Bangoran,Ndélé,Dar El Kouti
Bobera,Forage,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,17.13490000000,6.68079000000,Ouham,Bossangoa,Ndoro Mboli
Barbatoum,Forage,Oui,Non,Dans le village,Hors du village,Moins de 5 ans,20.46450000000,8.54817000000,Bamingui-Bangoran,Ndélé,Dar El Kouti
Batele 1,Forage,Oui,Oui,Hors du village,Communaute,Moins de 5 ans,20.67370000000,8.40398000000,Bamingui-Bangoran,Ndélé,Dar El Kouti
Batele 2,Forage,Oui,Oui,Dans le village,Communaute,,20.67720000000,8.40282000000,Bamingui-Bangoran,Ndélé,Dar El Kouti
Bobili,Forage,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,16.88450000000,6.75598000000,Ouham,Bossangoa,Ndoro Mboli
