Localité,TYPE_POINT,FONCTIONNE,COMITE_GES,RESID_ART_,LOCALISATI,ANNEE_IN_1,lon,lat,PREF_NOM,SPREF_NOM,COM_NOM
Doroko,Source amenagee,Oui,,,Hors du village,,15.88650000000,4.23249000000,Mambéré-Kadéï,Berbérati,Basse-Batouri
Boguila,Reseau moderne,Oui,Oui,Dans le village,FOSA,Plus de 10 ans,16.92130000000,7.13505000000,Ouham,Nangha Boguila,Nangha Boguila
Moussagoe 1,Source amenagee,Oui,Non,Hors du village,Hors du village,Plus de 10 ans,15.24990000000,4.20580000000,Mambéré-Kadéï,Gamboula,Basse-Boumné
Ngaoundaye,Reseau moderne,Oui,Oui,Dans le village,FOSA,Plus de 10 ans,15.60140000000,7.47580000000,Ouham Pendé,Ngaoundaye,Lim
Bossangoa,Reseau moderne,Oui,Oui,Dans le village,FOSA,Moins de 5 ans,17.45170000000,6.48944000000,Ouham,Bossangoa,Bossangoa
Mbandjifolo,Source amenagee,Non,Oui,Hors du village,Hors du village,Plus de 10 ans,15.15730000000,4.03327000000,Mambéré-Kadéï,Dédé-Mokouba,Haute-Kadéi
Mbandjifolo,Source amenagee,Oui,Oui,Hors du village,Hors du village,Plus de 10 ans,15.15750000000,4.03902000000,Mambéré-Kadéï,Dédé-Mokouba,Haute-Kadéi
Elevage,Reseau moderne,Non,,,Communaute,,18.31770000000,7.31361000000,Ouham,Batangafo,Ouassi
Bossangoa,Reseau moderne,Oui,Oui,Hors du village,FOSA,Plus de 10 ans,17.45810000000,6.47583000000,Ouham,Bossangoa,Soumbé
Bea,Reseau moderne,Oui,Oui,Hors du village,Ecole/FOSA,Plus de 5 ans,15.61880000000,5.93519000000,Nana-Mambéré,Bouar,Herman-Brousse
Bouar,Reseau moderne,Oui,Oui,Dans le village,FOSA,Plus de 5 ans,15.58030000000,5.95928000000,Nana-Mambéré,Bouar,Herman-Brousse
Bambari,Reseau moderne,Oui,Oui,Hors du village,FOSA,,20.65180000000,5.76892000000,Ouaka,Bambari,Bambari
Bania,Source amenagee,Oui,Oui,Dans le village,Hors du village,Plus de 10 ans,16.11610000000,4.00644000000,Mambéré-Kadéï,Berbérati,Basse-Mambéré
Kobadja,Source amenagee,Oui,Non,,Hors du village,Plus de 10 ans,19.67380000000,5.78230000000,Ouaka,Grimari,Kobadja
Bania,Source amenagee,Oui,Non,Hors du village,Communaute,,16.11780000000,3.99900000000,Mambéré-Kadéï,Berbérati,Basse-Mambéré
Lamaha,Source non amenagee,Oui,Non,,Hors du village,,19.69290000000,5.77042000000,Ouaka,Grimari,Kobadja
Erdongo,Source non amenagee,Oui,,,Hors du village,,16.33250000000,4.32063000000,Mambéré-Kadéï,Berbérati,Basse-Mambéré
Bambari,Reseau moderne,Oui,Oui,Hors du village,FOSA,Plus de 10 ans,20.67010000000,5.75727000000,Ouaka,Bambari,Bambari
Goni,Source non amenagee,Oui,,,Hors du village,,16.20530000000,4.09067000000,Mambéré-Kadéï,Berbérati,Basse-Mambéré
,Reseau moderne,Oui,Non,Hors du village,FOSA,Moins de 10 ans,19.18000000000,6.99050000000,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro
Lawa,Source amenagee,Oui,Oui,Hors du village,Hors du village,Moins de 10 ans,19.45370000000,5.77243000000,Kémo,Sibut,Ngoumbele
Lawa,Source amenagee,Non,Oui,Hors du village,Hors du village,Plus de 10 ans,19.45510000000,5.77475000000,Kémo,Sibut,Ngoumbele
Kossindji,Source amenagee,Non,,,Hors du village,,16.23390000000,3.93183000000,Mambéré-Kadéï,Berbérati,Basse-Mambéré
Batangafo,Reseau moderne,Oui,Oui,Dans le village,FOSA,Plus de 10 ans,18.28710000000,7.29829000000,Ouham,Batangafo,Batangafo
Mavoula,Source non amenagee,Oui,,,Communaute,,16.32000000000,4.25549000000,Mambéré-Kadéï,Berbérati,Basse-Mambéré
Bambari,Reseau moderne,Oui,Oui,Dans le village,FOSA,,20.68540000000,5.76392000000,Ouaka,Bambari,Bambari
Nguinbamba,Source amenagee,Oui,Non,Dans le village,Hors du village,Plus de 10 ans,16.06980000000,4.10091000000,Mambéré-Kadéï,Berbérati,Basse-Mambéré
Bossongo,Reseau moderne,Oui,Non,Dans le village,FOSA,Plus de 10 ans,18.24680000000,4.23995000000,Lobaye,Mbaïki,Pissa
Sapoua,Source amenagee,Oui,Oui,Hors du village,Hors du village,Plus de 10 ans,16.05240000000,4.11100000000,Mambéré-Kadéï,Berbérati,Basse-Mambéré
Poumayassi,Source non amenagee,Oui,,,Hors du village,,19.80390000000,5.75595000000,Ouaka,Grimari,Kobadja
Gongue-kota,Source non amenagee,Oui,Non,Hors du village,Communaute,Plus de 10 ans,17.47410000000,5.98361000000,Ouham,Bossangoa,Koro-M'poko
Bégoua,Reseau moderne,Oui,Non,Hors du village,Ecole,Plus de 10 ans,18.53340000000,4.45248000000,Ombella M'Poko,Bimbo,Bimbo
Bakouma,Reseau moderne,Non,Oui,Hors du village,FOSA,Moins de 5 ans,22.77740000000,5.70313000000,Mbomou,Bakouma,Bakouma
Bégoua,Reseau moderne,Non,Oui,Hors du village,FOSA,Plus de 10 ans,18.53380000000,4.45320000000,Ombella M'Poko,Bimbo,Bimbo
Malikossandigui,Source non amenagee,Oui,Non,Dans le village,Hors du village,Plus de 10 ans,22.48210000000,5.04052000000,Mbomou,Bakouma,Bakouma
Bouar,Reseau moderne,Oui,Non,Hors du village,Communaute,Plus de 10 ans,15.61910000000,5.93261000000,Nana-Mambéré,Bouar,Herman-Brousse
Mbaka,Source non amenagee,Oui,Non,Dans le village,Hors du village,Plus de 10 ans,22.53500000000,4.99061000000,Mbomou,Bakouma,Bakouma
Nokossa,Source non amenagee,Oui,Non,Dans le village,Hors du village,Plus de 10 ans,22.48600000000,5.03398000000,Mbomou,Bakouma,Bakouma
Boali,Source amenagee,Oui,Non,Hors du village,Hors du village,Plus de 10 ans,18.00490000000,4.87424000000,Ombella M'Poko,Boali,Boali
Panza,Source non amenagee,Oui,Non,Dans le village,Hors du village,Plus de 10 ans,22.49830000000,5.01705000000,Mbomou,Bakouma,Bakouma
Leoua,Source non amenagee,Oui,Non,Dans le village,Hors du village,Plus de 10 ans,21.28710000000,4.65705000000,Basse-Kotto,Mobaye,Mbéima
Zemio,Source amenagee,Oui,Oui,Hors du village,Hors du village,Moins de 5 ans,25.15380000000,5.03111000000,Haut-Mbomou,Zémio,Zémio
Bimbo,Reseau moderne,Oui,Non,Hors du village,Ecole,Plus de 10 ans,18.52050000000,4.36989000000,Ombella M'Poko,Bimbo,Bimbo
Bimbo,Reseau moderne,Oui,Oui,Dans le village,FOSA,Moins de 10 ans,18.52130000000,4.32327000000,Ombella M'Poko,Bimbo,Bimbo
Bimbo,Reseau moderne,Non,Non,Hors du village,Ecole,Moins de 10 ans,18.52250000000,4.37394000000,Ombella M'Poko,Bimbo,Bimbo
Boyaka,Reseau moderne,Oui,Oui,Dans le village,FOSA,Plus de 10 ans,18.28710000000,7.29829000000,Ouham,Batangafo,Batangafo
Berbérati,Reseau moderne,Oui,,Dans le village,Communaute,,15.79110000000,4.25991000000,Mambéré-Kadéï,Berbérati,Basse-Batouri
Ouangombe,Source non amenagee,Oui,,,Hors du village,,19.92220000000,5.84120000000,Ouaka,Grimari,Pouyamba
Alindao,Source non amenagee,Oui,Non,Dans le village,Hors du village,Plus de 10 ans,21.20820000000,5.05321000000,Basse-Kotto,Alindao,Alindao
Pouko,Source non amenagee,Oui,Non,,Hors du village,,19.79180000000,5.94412000000,Ouaka,Grimari,Pouyamba
Alindao,Source non amenagee,Oui,Oui,Dans le village,Hors du village,Plus de 10 ans,21.20880000000,5.05551000000,Basse-Kotto,Alindao,Alindao
Sana 3,Source non amenagee,Oui,Oui,Dans le village,Hors du village,Plus de 10 ans,23.91400000000,5.00029000000,Mbomou,Rafai,Rafai
Carnot,Reseau moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,15.88520000000,4.94428000000,Mambéré-Kadéï,Carnot,Carnot
Yangouko,Source non amenagee,Oui,Non,,Hors du village,,19.75490000000,5.01758000000,,,
Herba,Source amenagee,Oui,Oui,Dans le village,Communaute,Moins de 10 ans,15.99430000000,6.69170000000,Ouham Pendé,Bocaranga,Péndé
Carnot,Reseau moderne,Oui,,Dans le village,Communaute,Plus de 10 ans,15.88570000000,4.94840000000,Mambéré-Kadéï,Carnot,Carnot
Lendje,Source amenagee,Oui,,,Hors du village,Plus de 10 ans,22.01400000000,5.59552000000,Haute-Kotto,Bria,Daho-Mboutou
Mambele,Reseau Moderne,Oui,Non,Dans le village,Communaute,Plus de 10 ans,16.64370000000,3.93590000000,Sangha-Mbaéré,Bambio,Mbaéré
Mbaiki,Reseau moderne,Oui,Oui,Hors du village,FOSA,Plus de 10 ans,17.98620000000,3.87627000000,Lobaye,Mbaïki,Mbaiki
Nzonzo,Source amenagee,Oui,Non,Dans le village,Communaute,,16.14840000000,5.03626000000,Mambéré-Kadéï,Gadzi,Topia
Mbouli,Reseau moderne,Oui,Oui,Hors du village,FOSA,,15.52350000000,4.89709000000,Mambéré-Kadéï,Carnot,Carnot
