PName1,lon,lat,PREF_NOM,SPREF_NOM,COM_NOM
Abbo Bogaki,15.310861,5.370185,Nana-Mambere,Abba,Abba
Abbo Bougrma,14.939763,5.477976,Nana-Mambere,Abba,Abba
Babaza 1,14.933058,5.165305,Nana-Mambere,Abba,Abba
Bondjo-Kombo,15.079951,5.189012,Nana-Mambere,Abba,Abba
Boun,15.166736,5.290846,Nana-Mambere,Abba,Abba
Camp-Dolliac,15.112061,5.349865,Nana-Mambere,Abba,Abba
Gbading,15.241263,5.403474,Nana-Mambere,Abba,Abba
Gbagaza,15.096651,5.376155,Nana-Mambere,Abba,Abba
Gboula,14.870005,5.174044,Nana-Mambere,Abba,Abba
Gobolo,15.188825,5.431493,Nana-Mambere,Abba,Abba
Kamana,14.930544,5.174396,Nana-Mambere,Abba,Abba
Koe,15.183228,5.530190,Nana-Mambere,Abba,Abba
Kpetene,15.047933,5.093845,Nana-Mambere,Abba,Abba
Kpetene,15.077757,5.395067,Nana-Mambere,Abba,Abba
Lago-Gbaninga,14.956615,5.194865,Nana-Mambere,Abba,Abba
Lamy-Pong,15.037181,5.189874,Nana-Mambere,Abba,Abba
Marigot,15.074146,5.400072,Nana-Mambere,Abba,Abba
Mere-Bodetoro,15.305889,5.378333,Nana-Mambere,Abba,Abba
Merre 2,15.215623,5.401183,Nana-Mambere,Abba,Abba
Nagbagbo,15.015582,5.217143,Nana-Mambere,Abba,Abba
Ndiba 2,15.183885,5.476420,Nana-Mambere,Abba,Abba
Ndiba 4,15.189580,5.493628,Nana-Mambere,Abba,Abba
Ndiba Haoussa,15.185574,5.490305,Nana-Mambere,Abba,Abba
Ndiba-Mole,15.184550,5.494964,Nana-Mambere,Abba,Abba
Ndoke,15.005515,5.482238,Nana-Mambere,Abba,Abba
Ngbafio 1,15.411285,5.310668,Nana-Mambere,Abba,Abba
Noubewina,15.051974,5.084969,Nana-Mambere,Abba,Abba
Oui-Maye,15.243030,5.410086,Nana-Mambere,Abba,Abba
Sagani,14.864932,5.192228,Nana-Mambere,Abba,Abba
Samare,15.189800,5.437468,Nana-Mambere,Abba,Abba
Tikiri,14.898543,5.503726,Nana-Mambere,Abba,Abba
Tongbe-Wina,14.932228,5.182068,Nana-Mambere,Abba,Abba
Toumba-Nzara,14.984839,5.476264,Nana-Mambere,Abba,Abba
Yakoe,15.206273,5.378164,Nana-Mambere,Abba,Abba
Zabo-Mambe,15.155347,5.251044,Nana-Mambere,Abba,Abba
Zabo-Wiya,15.143299,5.237164,Nana-Mambere,Abba,Abba
Zara-Kombo,15.037367,5.469878,Nana-Mambere,Abba,Abba
Abba-Centre,15.142954,5.333372,Nana-Mambere,Abba,Abba
Mbartoua Ndenga,15.057216,5.446573,Nana-Mambere,Abba,Abba
Mere Boudoy,15.306576,5.373968,Nana-Mambere,Abba,Abba
Ndiba Mol,15.191018,5.461699,Nana-Mambere,Abba,Abba
Gbarandou,21.190802,5.064779,Basse-Kotto,Alindao,Alindao
Lagui 2,21.198618,5.056893,Basse-Kotto,Alindao,Alindao
Ngouroundjou,21.191608,5.055187,Basse-Kotto,Alindao,Alindao
Agoubissi,20.406056,5.043416,Ouaka,Kouango,Azengue-Mindou
Arabe,20.187782,5.276770,Ouaka,Kouango,Azengue-Mindou
Banda Ekao,20.182786,5.273807,Ouaka,Kouango,Azengue-Mindou
Banga,20.150992,5.337581,Ouaka,Kouango,Azengue-Mindou
Banga 2,20.081620,5.092624,Ouaka,Kouango,Azengue-Mindou
Bangao,20.178450,5.271880,Ouaka,Kouango,Azengue-Mindou
Bangao 2,20.189444,5.271458,Ouaka,Kouango,Azengue-Mindou
Bangao 3,20.181030,5.271802,Ouaka,Kouango,Azengue-Mindou
Bangao 4,20.181718,5.277127,Ouaka,Kouango,Azengue-Mindou
Bangba,20.138908,5.385406,Ouaka,Kouango,Azengue-Mindou
Bangba-Kandjia,20.184422,5.266362,Ouaka,Kouango,Azengue-Mindou
